A62_Strength_1,A62_Confidence,A63_Strength_1,A63_Confidence,A64_Strength_1,A64_Confidence,A65_Strength_1,A65_Confidence,A66_Strength_1,A66_Confidence,A67_Strength_1,A67_Confidence,A68_Strength_1,A68_Confidence,A69_Strength_1,A69_Confidence,A70_Strength_1,A70_Confidence,A71_Strength_1,A71_Confidence,A72_Strength_1,A72_Confidence,A73_Strength_1,A73_Confidence,A74_Strength_1,A74_Confidence,A75_Strength_1,A75_Confidence,A76_Strength_1,A76_Confidence,A77_Strength_1,A77_Confidence,A78_Strength_1,A78_Confidence,A79_Strength_1,A79_Confidence,A80_Strength_1,A80_Confidence,A81_Strength_1,A81_Confidence,A82_Strength_1,A82_Confidence,A83_Strength_1,A83_Confidence,A84_Strength_1,A84_Confidence,A85_Strength_1,A85_Confidence,A86_Strength_1,A86_Confidence,A87_Strength_1,A87_Confidence,A88_Strength_1,A88_Confidence,A89_Strength_1,A89_Confidence,A90_Strength_1,A90_Confidence,A91_Strength_1,A91_Confidence,A62_Truth,A63_Truth,A64_Truth,A65_Truth,A66_Truth,A67_Truth,A68_Truth,A69_Truth,A70_Truth,A71_Truth,A72_Truth,A73_Truth,A74_Truth,A75_Truth,A76_Truth,A77_Truth,A78_Truth,A79_Truth,A80_Truth,A81_Truth,A82_Truth,A83_Truth,A84_Truth,A85_Truth,A86_Truth,A87_Truth,A88_Truth,A89_Truth,A90_Truth,A91_Truth,A1_Component.truth,A2_Component.truth,A3_Component.truth,A4_Component.truth,A5_Component.truth,A6_Component.truth,A7_Component.truth,A8_Component.truth,A9_Component.truth,A10_Component.truth,A11_Component.truth,A12_Component.truth,A13_Component.truth,A14_Component.truth,A15_Component.truth,A16_Component.truth,A17_Component.truth,A18_Component.truth,A19_Component.truth,A20_Component.truth,A21_Component.truth,A22_Component.truth,A23_Component.truth,A24_Component.truth,A25_Component.truth,A26_Component.truth,A27_Component.truth,A28_Component.truth,A29_Component.truth,A30_Component.truth,A31_Component.truth,A32_Component.truth,A33_Component.truth,A34_Component.truth,A35_Component.truth,A36_Component.truth,A37_Component.truth,A38_Component.truth,A39_Component.truth,A40_Component.truth,A41_Component.truth,A42_Component.truth,A43_Component.truth,A44_Component.truth,A45_Component.truth,A46_Component.truth,A47_Component.truth,A48_Component.truth,A49_Component.truth,A50_Component.truth,A51_Component.truth,A52_Component.truth,A53_Component.truth,A54_Component.truth,A55_Component.truth,A56_Component.truth,A57_Component.truth,A58_Component.truth,A59_Component.truth,A60_Component.truth
5,8,13,8,13,2,1,10,11,8,55,5,20,9,8,9,1,10,28,3,11,9,12,5,28,4,1,10,30,7,10,7,13,8,31,0,11,7,17,8,88,6,59,5,34,3,79,9,72,8,61,5,59,5,91,10,72,7,72,6,2,2,3,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,3,1,1,2,1,3,3,2,2,2,2,2,1,3,1,2,1,3,3,1,2,2,1,2,1,3,2,3,1,1,1,1,2,2,2,1,3,3,1,3,3,3,2,3,2,2,1,2,2,3,3
36,0,0,6,0,8,0,10,0,0,58,3,0,0,60,1,0,10,0,8,47,2,29,3,0,5,0,0,0,10,0,5,0,10,0,0,54,0,0,6,81,8,50,2,100,9,100,1,100,6,100,6,77,8,100,9,55,0,81,5,3,2,2,3,2,1,2,2,3,2,3,2,2,2,2,2,2,2,2,2,1,3,1,1,1,1,1,1,3,1,1,1,1,3,2,1,1,2,2,1,3,1,2,1,1,2,2,2,2,2,1,1,2,1,2,1,1,3,1,3,1,3,2,1,3,2,3,1,3,3,1,2,1,3,1,3,3,2,3,2,1,2,2,2,2,1,2,3,3,3
0,9,0,9,0,9,0,10,0,8,6,8,19,2,5,7,0,9,14,7,15,4,44,1,8,6,6,7,9,4,51,2,6,7,39,2,60,4,70,5,89,9,54,2,60,4,80,8,65,5,83,8,60,5,85,8,51,3,74,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,2,1,1,3,3,1,1,1,3,1,3,1,1,3,3,2,3,1,1,2,2,1,2,3,2,3,1,1,2,2,3,2,1,1,1,1,3,3,1,1,1,2,3,1,2,1,2,2,3,1,3,1,1,2,3,2,1,3,3,3,1,3,3,2,2,3,2,1,2,3,1,3
0,10,0,8,0,8,0,8,0,5,60,5,0,7,50,5,45,4,0,10,0,5,30,7,50,5,50,5,0,8,30,8,20,8,0,8,0,9,60,7,90,9,82,8,91,9,0,10,50,5,100,10,90,8,90,8,70,8,75,8,2,2,2,2,2,1,2,2,2,2,2,2,3,3,2,2,2,2,2,3,1,1,1,1,3,1,1,1,1,1,1,1,1,3,1,1,1,3,3,3,3,1,3,3,3,3,3,3,3,3,1,1,3,1,1,1,3,3,1,3,2,3,2,1,3,1,3,3,3,1,3,3,1,3,1,3,3,3,3,3,3,1,3,3,3,1,3,3,3,3
0,10,0,10,0,0,0,10,0,5,71,5,23,4,9,2,0,10,23,3,50,0,70,5,12,0,60,1,5,6,2,8,0,7,28,4,59,5,88,8,90,10,76,5,93,8,81,6,90,10,85,7,79,7,87,8,21,2,93,8,2,2,2,3,2,3,3,2,3,1,2,1,2,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,2,1,1,3,1,2,1,3,2,2,3,2,2,1,1,NA,1,2,1,3,3,1,3,3,3,2,1,2,2,1,1,1,1,3,3,1,2,1,1,1,NA,1,3,1,2,2,3,3,1,2,3,1,1
70,8,65,8,35,8,80,9,29,8,45,8,75,7,63,7,24,7,60,7,75,9,51,2,65,8,30,2,75,8,65,6,62,7,70,8,70,8,40,8,80,9,30,9,55,8,20,9,25,8,81,9,40,6,70,6,55,3,70,8,3,3,2,2,2,1,2,1,2,3,3,2,2,3,2,2,2,2,2,1,1,1,1,3,1,1,2,1,1,1,1,1,1,2,1,1,1,2,3,1,1,1,3,1,1,3,2,3,2,2,1,1,3,1,3,1,1,1,1,2,1,1,3,1,2,2,1,3,3,1,1,3,2,3,1,1,1,1,1,2,1,2,3,2,2,1,2,3,1,1
0,8,5,7,3,9,0,8,5,6,10,1,5,5,33,1,0,7,1,6,21,4,40,2,4,6,7,3,3,8,12,5,8,6,31,4,10,6,37,3,59,5,61,4,61,5,50,2,54,3,19,4,54,4,70,5,37,5,68,6,3,3,2,2,3,2,3,3,3,3,2,3,2,2,2,2,3,3,2,3,1,1,3,1,1,3,3,1,3,3,1,1,1,3,3,1,1,2,2,3,2,1,2,3,1,1,2,2,3,2,1,1,1,3,3,3,3,1,1,2,2,3,3,1,3,1,NA,1,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3
16,7,0,6,4,7,0,10,9,7,30,7,8,9,29,5,0,7,0,8,0,6,21,6,0,8,0,4,30,7,80,7,13,7,56,4,20,6,59,4,70,5,70,6,30,7,71,4,70,5,76,7,75,6,98,10,70,5,84,8,3,2,2,2,3,3,2,3,2,2,2,3,3,3,2,2,2,3,2,3,1,3,3,3,3,1,3,1,3,1,3,1,3,2,3,1,1,3,3,3,3,3,2,3,3,3,2,2,3,2,1,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
12,4,0,6,13,5,23,7,8,1,61,8,28,7,64,4,0,10,8,8,70,7,55,6,0,10,36,0,22,9,0,10,2,10,19,3,56,3,36,1,96,10,59,2,90,9,88,9,92,10,83,9,94,10,100,10,78,7,85,9,2,2,3,2,3,3,2,3,2,3,3,3,2,2,2,2,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,3,1,1,2,3,1,3,1,2,3,1,3,2,3,2,3,3,1,2,1,3,1,1,1,1,3,1,1,2,1,2,2,1,1,1,1,1,3,1,3,1,1,1,1,1,2,1,2,2,1,3,1,2,2,1,1
30,4,79,7,69,7,80,9,21,6,39,7,52,5,81,8,71,8,80,8,92,9,30,7,71,7,10,8,91,8,92,8,39,5,1,9,15,5,12,8,30,4,59,7,91,10,90,7,8,7,91,7,91,9,18,5,70,5,30,7,2,2,2,2,3,3,2,2,2,2,3,3,2,2,2,2,2,2,2,2,3,2,1,1,1,1,1,1,3,NA,1,1,1,2,2,1,3,2,2,1,3,1,3,1,1,1,2,2,2,2,3,1,1,1,3,1,1,3,1,NA,2,1,2,1,3,2,NA,1,1,1,1,2,1,2,2,1,2,1,1,2,3,2,1,1,2,2,1,2,2,1
8,7,20,7,0,8,4,8,0,8,66,7,14,6,17,7,2,7,6,7,19,6,31,4,17,8,12,5,67,5,8,8,11,6,19,7,9,7,30,5,86,9,72,7,81,7,71,7,59,6,61,7,61,6,85,9,18,5,81,7,3,2,3,3,3,1,3,3,3,3,3,2,2,2,2,2,2,2,2,3,1,1,1,1,1,1,1,1,2,1,1,1,3,2,3,1,1,2,2,1,3,3,2,1,1,1,2,2,2,2,1,1,1,1,2,1,1,1,1,2,2,3,2,1,1,2,3,1,2,3,3,2,3,2,3,2,3,3,3,3,1,2,1,3,3,1,2,1,2,3
10,7,0,9,30,5,5,9,5,8,54,5,4,9,45,6,8,8,8,6,10,7,20,7,18,7,5,9,5,9,20,7,48,7,14,6,15,7,54,5,60,8,55,7,55,7,36,6,68,7,68,6,65,6,78,9,70,8,65,7,3,2,3,2,2,1,2,3,2,2,2,3,2,2,3,3,3,3,2,3,1,3,3,3,1,3,3,1,1,1,1,1,3,3,3,1,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,1,3,3,3,3,1,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,3,3,3,3
0,10,0,10,0,10,0,10,0,10,0,10,30,8,12,8,5,10,0,10,50,3,10,8,51,7,39,3,20,9,10,9,9,9,10,10,20,8,100,10,100,10,18,9,90,9,89,9,18,9,90,9,60,8,83,9,30,7,85,9,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,3,2,1,1,2,1,1,2,1,2,1,2,1,1,3,3,2,2,1,1,2,3,1,3,3,2,3,1,3,2,2,2,2,1,1,3,1,2,1,1,1,1,2,1,3,2,1,2,2,3,3,3,1,1,3,1,3,1,1,3,1,1,3,1,2,2,2,2,1,2,3,1,3
10,8,9,9,22,7,8,9,26,8,43,6,19,8,38,6,32,6,15,8,26,7,21,6,8,8,16,8,17,8,29,6,23,7,14,7,14,8,24,8,44,2,54,7,51,4,39,6,68,6,41,7,66,7,73,8,42,6,80,8,2,2,2,2,3,3,2,3,3,3,2,3,2,2,2,3,2,3,2,2,3,3,3,3,1,3,1,1,3,1,3,1,1,3,3,1,3,2,2,1,3,1,2,3,3,3,2,2,1,2,3,NA,3,3,3,3,NA,1,1,3,3,3,2,1,3,2,3,1,3,1,3,3,1,3,1,3,3,3,2,3,3,2,3,2,2,1,2,3,3,3
7,5,0,9,1,9,5,9,6,9,0,9,3,10,8,8,9,8,4,8,2,8,4,8,5,8,3,9,5,7,51,5,5,9,6,NA,5,9,8,8,81,10,9,8,9,8,8,7,61,6,23,7,9,7,50,5,51,5,4,9,2,2,2,2,2,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,1,2,2,3,1,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,NA,3,1,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,1,3,1,3,3,1,3,2,3,3,3,3,3,1,3
43,6,50,0,10,8,67,4,24,3,68,5,20,7,30,4,57,2,72,6,66,5,72,6,52,1,50,0,40,6,59,1,3,7,30,7,67,5,50,3,86,7,30,3,56,0,67,4,61,6,100,10,5,9,91,8,54,1,86,8,3,2,2,2,3,3,2,3,2,2,3,3,3,3,2,2,2,2,3,3,1,3,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,3,3,1,1,3,3,3,1,3,2,3,2,3,1,3,3,1,3,1,1,1,1,3,3,3,2,3,3,2,1,3,1,1,3,3,3,3,1,3,3,3,3,3,1,2,3,3,2,1,1,2,3,1
0,10,0,9,0,8,0,10,0,8,50,8,0,8,0,10,0,8,0,7,10,5,0,10,0,10,0,10,30,9,0,7,20,8,20,7,30,5,0,8,100,10,60,8,30,8,100,10,100,10,80,8,0,7,100,10,0,9,90,9,3,3,3,3,2,3,3,2,3,2,3,2,2,3,3,2,2,3,2,2,1,1,1,1,1,1,2,1,2,1,1,1,1,3,3,1,3,3,3,1,3,1,2,3,1,1,2,3,2,3,3,1,1,1,3,1,1,3,1,2,1,1,2,1,2,2,3,3,1,1,1,3,1,3,3,1,3,1,3,3,3,2,2,2,2,1,3,2,1,3
10,8,0,7,18,8,14,8,49,2,62,5,20,5,40,5,8,7,29,5,10,8,70,7,49,3,61,4,20,7,41,4,30,6,20,7,30,7,38,6,69,5,60,5,74,4,90,8,82,7,93,8,82,6,82,7,63,5,70,6,2,2,2,2,3,1,2,3,2,2,2,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,3,1,2,3,1,3,2,3,1,3,1,2,3,1,1,2,3,2,3,3,1,1,1,2,1,1,1,1,2,2,1,2,1,3,2,3,3,2,1,1,1,1,3,3,1,3,1,3,2,3,2,2,1,2,1,3,1,1,2
10,7,14,8,29,2,9,8,47,5,44,6,26,7,28,6,30,5,27,8,46,2,39,8,28,3,29,7,20,8,17,8,7,9,44,2,23,9,53,7,91,9,82,8,85,8,71,9,53,6,93,9,70,7,91,9,64,7,91,9,2,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,3,2,3,1,1,1,3,1,1,1,1,3,1,1,1,1,3,3,1,1,2,2,1,3,1,2,3,1,3,2,2,1,2,1,1,1,1,3,1,1,1,1,3,3,3,2,1,3,1,1,3,3,3,3,2,3,2,3,3,3,3,2,2,1,1,3,2,3,1,3,3,3,1
15,5,25,2,17,2,4,5,11,5,23,2,15,5,32,3,31,2,9,5,28,2,30,4,20,2,29,3,24,2,13,4,11,4,24,2,24,3,56,5,72,9,35,3,61,7,80,8,37,3,71,7,61,6,76,9,39,4,57,5,2,2,3,2,3,2,2,3,2,2,3,2,2,3,2,3,3,3,2,3,1,3,1,1,1,1,3,1,2,3,1,1,1,3,3,1,1,3,2,3,3,1,3,1,3,3,2,2,2,3,1,1,3,1,3,1,3,1,1,2,3,3,2,1,3,3,3,1,3,3,2,2,3,3,3,3,3,3,3,3,1,3,3,3,3,1,3,3,3,3
2,9,20,7,17,1,12,6,17,6,36,2,22,5,18,2,4,9,14,8,30,5,27,4,15,6,17,7,25,5,11,9,15,7,20,6,15,4,41,1,69,8,39,5,77,7,56,2,43,3,71,6,80,7,78,8,62,2,76,6,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,1,3,1,1,1,1,3,1,1,1,1,2,2,1,3,1,2,1,3,1,2,3,1,1,2,2,2,2,3,1,1,1,2,1,1,1,1,2,2,1,2,1,3,2,3,3,1,1,1,2,1,2,1,3,1,3,1,3,3,2,3,3,2,1,2,1,3,3
0,10,0,8,0,10,0,10,51,0,40,8,0,10,19,5,0,10,0,10,60,6,19,8,71,4,0,8,19,3,19,8,29,7,10,8,82,6,0,5,100,10,19,8,71,8,71,4,0,8,60,7,50,9,30,7,71,7,100,10,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,1,3,1,3,3,3,3,3,3,1,1,3,3,3,3,1,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,1,1,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
0,10,0,9,0,9,0,10,9,6,24,5,0,10,14,4,10,7,0,9,0,8,10,6,0,8,9,5,0,9,0,7,0,10,10,5,0,9,81,9,27,4,30,6,31,7,20,7,20,6,9,8,50,5,51,6,40,6,60,8,2,2,2,2,2,3,2,2,3,2,2,3,2,2,2,2,2,2,2,1,3,1,3,3,3,3,1,1,1,1,1,3,3,2,3,1,3,2,2,1,3,1,2,3,3,3,2,2,3,2,3,1,1,1,3,1,3,1,1,2,3,1,2,1,3,2,3,3,1,1,3,3,3,3,1,3,3,3,1,3,3,3,3,3,2,1,2,3,3,3
69,7,4,10,7,9,0,10,21,5,20,6,36,7,50,8,0,8,36,4,93,9,37,8,17,6,40,5,20,8,25,5,7,9,19,8,54,5,35,6,100,10,50,6,13,9,30,6,22,9,81,7,32,6,100,10,77,8,84,8,2,2,2,2,2,3,2,2,2,2,3,2,3,2,2,2,3,3,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,3,1,3,1,2,3,2,1,2,3,2,2,1,1,1,1,2,1,2,1,1,2,3,3,2,1,2,2,3,2,3,3,1,2,1,1,3,1,3,1,1,2,1,2,2,2,1,1,2,3,1,3
0,10,11,8,19,0,0,10,19,0,10,3,70,5,70,1,0,5,1,4,0,8,82,0,9,5,20,5,0,9,10,8,0,10,51,0,89,7,19,5,99,10,90,7,100,10,81,5,100,8,100,8,100,9,100,10,20,0,100,10,2,2,2,2,3,1,3,1,2,2,1,1,2,2,2,1,2,3,1,2,1,1,1,1,1,1,1,1,2,1,1,3,1,3,3,1,1,3,3,2,1,1,2,1,1,1,2,3,2,2,1,1,1,1,3,1,1,2,1,3,1,3,2,1,1,3,1,1,3,2,1,2,3,2,2,2,1,1,2,3,3,3,1,2,1,1,1,3,2,1
0,9,0,9,0,9,0,9,0,8,62,6,23,8,55,3,20,3,6,8,5,8,18,4,8,9,12,6,0,9,0,10,7,9,15,5,0,10,34,2,85,8,47,7,60,7,62,5,68,6,78,8,63,8,91,9,55,3,69,9,2,2,3,3,2,1,3,2,1,3,3,3,2,2,2,2,2,2,2,3,1,1,1,3,1,1,1,1,1,1,1,1,3,3,3,1,3,2,2,1,3,3,2,3,1,3,2,2,2,2,3,3,3,NA,3,1,1,1,1,3,3,3,2,3,3,3,1,3,3,3,1,2,3,3,1,3,3,3,3,3,3,2,3,2,3,1,2,1,3,1
22,3,8,5,52,3,10,3,31,3,20,3,10,5,52,3,20,3,5,6,50,3,42,4,6,4,52,3,30,3,52,4,50,4,50,4,9,5,71,5,90,5,60,3,51,5,80,5,71,3,71,4,66,4,90,5,64,3,69,5,2,2,2,2,3,2,2,3,2,2,3,NA,2,3,2,3,3,2,2,1,1,3,3,1,1,1,3,1,1,1,1,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,NA,3,3,3,1,3,3,3,3,3,3,1,3,3,3,3,1,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3
61,3,46,5,5,9,81,8,50,2,32,7,53,3,73,7,60,5,58,4,44,3,17,8,71,6,27,7,56,4,40,2,9,8,35,5,54,5,54,3,10,7,25,6,50,2,12,9,70,7,90,9,54,3,50,0,40,6,55,5,2,2,2,2,2,3,2,3,2,2,3,3,2,2,2,2,2,2,2,2,3,1,3,3,1,2,1,1,3,1,1,3,1,3,3,1,3,3,2,1,3,1,2,3,3,1,2,2,2,2,1,1,3,1,1,1,3,1,1,3,3,3,2,1,3,2,1,1,1,3,3,2,3,3,2,3,3,3,2,2,3,2,3,2,1,1,3,3,3,1
21,3,57,6,28,3,5,7,20,7,23,5,23,4,14,5,11,6,78,5,17,6,37,5,8,6,58,3,32,3,61,6,13,7,30,5,17,7,50,2,42,5,28,3,56,4,40,5,69,7,21,6,27,4,67,8,34,6,70,7,3,2,2,2,3,3,3,3,2,2,2,3,2,3,3,3,3,3,2,2,3,3,3,3,1,3,3,1,3,1,1,1,3,3,3,1,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,1,3,1,3,3,1,3,3,3,3,3,3,3,1,3,1,1,1,NA,1,3,3,3,3,3,3,3,3,3,3,2,3,1,3,3,3,1
19,3,7,6,9,5,0,10,6,5,33,5,23,2,65,6,4,10,3,7,9,8,68,8,29,2,16,5,81,7,5,9,36,4,11,2,3,5,39,5,89,9,80,8,88,8,70,5,79,7,71,5,80,8,94,10,74,5,69,7,3,2,3,2,2,3,2,NA,2,3,3,3,3,2,2,2,2,2,1,3,NA,1,3,3,1,3,1,1,1,1,1,3,1,2,3,1,3,3,2,1,3,1,2,1,1,3,2,2,2,2,3,1,2,1,3,3,1,1,1,3,3,3,2,1,2,2,3,1,1,1,1,3,1,3,3,3,3,1,1,3,3,2,3,3,2,1,3,2,1,3
7,7,10,5,19,1,3,8,29,4,20,2,9,3,65,3,8,5,24,3,7,8,5,6,6,7,4,9,2,7,27,2,15,1,38,4,1,8,53,1,50,0,73,6,25,5,69,6,91,9,62,4,82,8,90,8,55,2,86,8,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,3,2,3,2,3,3,1,2,3,1,3,1,1,3,1,1,1,1,2,3,1,3,2,2,1,2,1,3,1,3,3,2,2,1,2,3,1,2,1,3,1,3,3,1,2,2,1,2,1,2,1,2,1,3,1,3,3,2,2,2,1,3,3,3,3,3,1,3,2,3,1,3,3,1,2
14,1,13,8,15,4,0,5,6,3,28,2,2,9,21,1,4,9,14,7,14,2,11,6,32,2,38,1,19,2,28,3,28,2,22,5,16,2,52,0,66,5,65,5,82,5,55,2,57,2,59,4,55,2,70,5,61,4,53,0,3,2,3,2,3,3,2,3,2,2,3,3,3,3,3,2,2,2,3,3,3,3,1,3,1,1,3,1,1,3,3,3,3,2,3,1,3,3,3,1,3,NA,3,3,1,1,3,3,2,3,3,1,1,3,3,1,1,1,1,2,3,3,2,1,3,2,3,3,3,1,1,2,1,3,1,3,3,3,1,3,3,2,3,3,3,1,2,3,3,3
83,8,24,8,55,0,41,5,76,7,29,8,45,9,40,9,50,0,0,9,90,9,63,7,40,6,39,7,41,8,34,8,30,6,65,6,63,8,81,9,100,10,80,9,100,8,100,9,70,7,100,9,82,7,100,10,60,4,55,0,3,2,3,2,2,3,3,1,2,2,2,3,3,3,2,2,2,3,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,3,1,2,3,1,1,2,3,2,2,1,1,1,1,3,1,1,1,1,2,2,1,3,1,1,2,1,1,3,1,1,1,1,3,1,2,1,1,1,1,1,2,3,2,2,1,2,1,3,1
0,6,0,7,17,1,20,5,9,1,14,3,6,7,10,2,7,6,7,4,51,1,43,1,26,7,36,1,28,6,21,7,15,7,69,6,8,9,16,5,100,10,82,8,90,8,63,3,78,7,98,8,87,9,100,10,26,1,81,7,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,1,2,1,1,1,1,1,1,2,1,1,1,1,2,3,1,1,3,2,1,3,1,2,3,1,1,3,2,2,2,1,1,1,1,3,1,1,1,1,2,1,1,2,1,2,2,3,3,1,1,1,2,1,3,1,1,1,1,1,2,1,2,3,3,2,1,2,2,1,3
5,7,23,3,25,2,1,8,5,4,61,4,24,2,55,1,17,5,9,5,19,3,29,0,0,10,14,3,10,5,17,6,17,3,14,5,9,8,71,5,91,9,81,8,87,9,87,8,86,7,71,7,81,7,95,9,64,4,66,6,2,2,3,2,3,1,2,3,2,2,2,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,3,1,1,2,3,2,2,1,3,2,2,1,3,3,2,3,1,1,2,2,2,2,3,1,1,1,2,3,1,1,1,2,2,3,2,1,1,2,3,3,1,1,1,2,1,2,1,3,3,3,1,1,3,2,1,3,2,1,2,2,3,3
34,2,13,5,40,1,4,6,45,1,35,3,20,6,40,3,5,3,4,7,70,7,60,2,10,5,49,1,29,5,6,8,5,9,40,4,8,5,50,3,100,10,9,8,75,7,99,10,90,9,85,8,40,4,87,8,50,5,91,9,2,2,2,2,2,3,2,2,2,2,1,3,2,3,3,2,2,2,2,2,1,2,1,1,1,1,3,1,3,1,3,2,3,2,2,1,1,3,3,3,3,3,2,1,3,1,2,3,2,2,1,1,1,3,2,3,3,3,1,2,3,3,2,1,3,2,3,1,3,1,1,3,1,2,3,3,3,1,1,3,3,2,3,3,1,1,3,3,3,3
6,4,14,4,38,1,0,8,13,4,58,4,20,6,39,1,2,5,34,4,45,1,46,1,40,2,24,1,8,7,17,6,10,7,45,1,13,5,32,4,98,8,73,4,93,7,82,6,80,6,70,5,83,6,89,8,66,4,90,7,2,2,3,2,3,3,2,3,2,2,NA,3,3,3,2,2,2,3,2,2,1,1,1,1,1,1,1,1,3,1,1,1,3,3,3,1,1,3,2,3,3,3,2,3,3,3,2,2,3,2,1,1,3,1,3,1,3,3,1,3,1,1,2,1,3,3,3,3,1,3,1,3,1,3,3,3,3,1,3,3,1,3,3,3,1,1,3,2,3,3
7,9,20,3,25,1,2,8,5,9,60,3,1,8,26,4,0,10,5,2,70,6,69,5,25,6,9,6,20,8,90,9,10,8,5,9,20,5,85,9,94,10,60,7,81,8,63,2,70,5,90,8,60,6,81,8,35,4,82,8,2,2,2,2,3,3,2,3,2,2,3,3,2,3,2,2,2,3,2,1,1,2,1,1,3,1,3,1,3,1,1,1,3,2,2,1,3,2,2,1,2,3,2,1,3,1,2,2,2,2,3,1,1,1,2,1,3,3,1,2,1,3,2,1,3,2,3,1,1,1,1,2,1,3,1,1,3,3,1,2,1,2,3,3,NA,1,3,2,1,2
14,4,0,9,5,6,1,9,23,4,4,6,8,6,7,1,2,6,11,6,4,9,31,3,1,9,20,2,17,6,46,4,36,3,50,1,33,5,18,4,44,7,41,5,3,8,45,1,62,5,65,5,19,6,77,5,5,7,70,5,3,2,2,2,2,2,2,3,2,2,2,3,2,2,2,3,3,3,3,3,3,3,2,3,1,1,2,1,2,1,3,1,3,2,3,1,3,2,2,3,2,3,2,3,1,1,2,2,2,2,3,1,1,3,3,3,1,3,1,2,3,3,2,1,2,2,2,3,3,1,1,2,1,3,3,1,3,1,3,3,3,2,2,2,3,1,3,3,1,2
2,8,11,8,55,4,0,10,14,7,16,7,14,8,3,9,0,10,21,7,39,3,35,5,19,7,28,5,30,7,24,8,40,6,13,6,20,7,41,4,86,7,39,5,31,6,69,7,71,7,48,5,78,6,96,9,69,6,80,9,2,2,3,2,2,2,2,2,2,2,3,2,2,3,2,3,2,3,2,3,1,3,3,3,1,3,1,1,3,1,1,1,3,2,2,1,3,2,2,1,3,3,2,3,3,1,2,2,2,2,3,1,1,1,2,3,3,1,1,2,2,3,2,1,3,2,3,3,3,3,1,3,1,2,1,3,3,3,1,2,1,2,3,2,2,1,2,1,3,3
20,6,5,8,6,7,5,8,4,9,16,6,12,7,5,8,11,6,5,7,16,3,7,7,6,6,32,5,8,8,16,7,5,8,10,6,6,7,19,6,62,6,61,6,61,6,91,9,62,6,73,6,57,5,60,4,61,5,81,8,3,2,2,3,3,3,3,2,3,3,2,2,2,2,2,2,2,2,2,3,1,3,1,1,1,1,3,3,3,1,1,3,1,3,3,1,3,3,3,1,3,1,2,3,1,1,3,3,3,3,3,1,3,1,3,1,1,1,1,2,3,1,3,1,3,3,3,3,1,1,1,3,1,3,3,3,1,1,3,3,3,3,3,3,3,1,3,3,3,3
5,10,0,10,0,10,68,4,0,9,35,5,0,9,40,2,3,8,0,9,26,5,79,10,0,8,29,2,4,10,0,10,0,10,57,1,68,5,98,10,100,10,50,5,100,10,65,7,59,5,100,10,99,9,100,10,100,10,41,3,3,2,2,3,2,3,3,3,2,2,1,3,2,3,3,1,3,2,1,1,1,2,1,1,1,1,1,1,1,3,1,1,3,3,2,1,3,3,3,1,3,3,2,3,1,1,3,3,2,3,3,1,1,1,3,1,1,1,1,3,1,1,2,1,2,3,1,3,1,1,1,3,1,3,1,1,1,1,3,2,3,2,2,1,2,1,2,2,1,3
